"uid"	"city_name"	"offense_code"	"offense_type"	"offense_group"	"offense_against"	"date_single"	"longitude"	"latitude"	"location_type"	"location_category"	"census_block"	"date_start"	"date_end"
"1"	1188135	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-01 17:00:00	-97.746775	30.258546	"vehicle parking"	"open space"	"484530013051014"	NA	NA
"2"	1188285	"Austin"	"35A"	"drug/narcotic violations"	"drug/narcotic offenses"	"society"	2018-01-02 15:01:00	-97.696491	30.236195	"street"	"street"	"484530023171012"	NA	NA
"3"	1188481	"Austin"	"290"	"destruction/damage/vandalism of property (except arson)"	"destruction/damage/vandalism of property (except arson)"	"property"	2018-01-03 17:00:00	-97.705328	30.259391	"street"	"street"	"484530009021021"	NA	NA
"4"	1188652	"Austin"	"90C"	"disorderly conduct"	"disorderly conduct"	"society"	2018-01-04 12:21:00	-97.761514	30.238686	"office"	"commercial"	"484530013084000"	NA	NA
"5"	1188730	"Austin"	"35A"	"drug/narcotic violations"	"drug/narcotic offenses"	"society"	2018-01-04 19:33:00	-97.730493	30.278558	"street"	"street"	"484530007001001"	NA	NA
"6"	1188808	"Austin"	"90D"	"driving under the influence"	"driving under the influence"	"society"	2018-01-05 04:34:00	-97.731825	30.274861	"street"	"street"	"484530007001001"	NA	NA
"7"	1188824	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-05 08:20:00	-97.716685	30.261073	"vehicle parking"	"open space"	"484530009022038"	NA	NA
"8"	1188899	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-05 15:00:00	-97.706243	30.290946	"street"	"street"	"484530003061043"	NA	NA
"9"	1188911	"Austin"	"22U"	"other burglary/breaking & entering"	"burglary/breaking & entering"	"property"	2018-01-05 16:20:00	-97.694101	30.35728	"residence"	"residence"	"484530018061014"	NA	NA
"10"	1188916	"Austin"	"22U"	"other burglary/breaking & entering"	"burglary/breaking & entering"	"property"	2018-01-05 16:48:00	-97.78628	30.252624	"residence"	"residence"	"484530019012001"	NA	NA
"11"	1188982	"Austin"	"35A"	"drug/narcotic violations"	"drug/narcotic offenses"	"society"	2018-01-05 23:11:00	-97.68854	30.305632	"street"	"street"	"484530021063008"	NA	NA
"12"	1189114	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-06 14:30:00	-97.740782	30.382977	"vehicle parking"	"open space"	"484530017531030"	NA	NA
"13"	1189200	"Austin"	"13C"	"intimidation"	"assault offenses"	"persons"	2018-01-06 22:00:00	-97.77139	30.298376	"residence"	"residence"	"484530016044002"	NA	NA
"14"	1189225	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-01-06 23:39:00	-97.701565	30.344537	"residence"	"residence"	"484530018043013"	NA	NA
"15"	1189493	"Austin"	"13B"	"simple assault"	"assault offenses"	"persons"	2018-01-08 07:45:00	-97.767348	30.191621	"college"	"education"	"484530024192008"	NA	NA
"16"	1189627	"Austin"	"23C"	"shoplifting"	"larceny/theft offenses"	"property"	2018-01-08 20:07:00	-97.87675	30.202598	"supermarket"	"retail"	"484530017372040"	NA	NA
"17"	1189751	"Austin"	"26A"	"false pretenses/swindle/confidence game"	"fraud offenses (except counterfeiting/forgery and bad checks)"	"property"	2018-01-09 13:30:00	-97.883233	30.208902	"residence"	"residence"	"484530017372008"	NA	NA
"18"	1189788	"Austin"	"290"	"destruction/damage/vandalism of property (except arson)"	"destruction/damage/vandalism of property (except arson)"	"property"	2018-01-09 16:50:00	-97.71234	30.373251	"residence"	"residence"	"484530018211004"	NA	NA
"19"	1190051	"Austin"	"22U"	"other burglary/breaking & entering"	"burglary/breaking & entering"	"property"	2018-01-10 19:30:00	-97.845123	30.425189	"vehicle parking"	"open space"	"484530017651012"	NA	NA
"20"	1190128	"Austin"	"90D"	"driving under the influence"	"driving under the influence"	"society"	2018-01-11 02:45:00	-97.7139	30.352367	"street"	"street"	"484530018051011"	NA	NA
"21"	1190204	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-01-11 13:50:00	-97.776271	30.241696	"residence"	"residence"	"484530013041006"	NA	NA
"22"	1190334	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-01-12 01:38:00	-97.806397	30.173685	"residence"	"residence"	"484530024211001"	NA	NA
"23"	1190340	"Austin"	"90D"	"driving under the influence"	"driving under the influence"	"society"	2018-01-12 02:49:00	-97.697902	30.364991	"street"	"street"	"484530018192003"	NA	NA
"24"	1190419	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-01-12 13:52:00	-97.789846	30.224546	"residence"	"residence"	"484530020022000"	NA	NA
"25"	1190462	"Austin"	"90Z"	"all other offenses"	"all other offenses"	"other"	2018-01-12 17:35:00	-97.719344	30.284437	"street"	"street"	"484530004011025"	NA	NA
"26"	1190473	"Austin"	"13C"	"intimidation"	"assault offenses"	"persons"	2018-01-12 18:33:00	-97.814936	30.214667	"residence"	"residence"	"484530017503014"	NA	NA
"27"	1190501	"Austin"	"90C"	"disorderly conduct"	"disorderly conduct"	"society"	2018-01-12 20:29:00	-97.727889	30.396292	NA	NA	"484530018491007"	NA	NA
"28"	1190733	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-01-13 23:42:00	-97.707069	30.308826	"residence"	"residence"	"484530021051004"	NA	NA
"29"	1190819	"Austin"	"13A"	"aggravated assault"	"assault offenses"	"persons"	2018-01-14 14:00:00	-97.757233	30.42197	"residence"	"residence"	"484530025002007"	NA	NA
"30"	1190893	"Austin"	"35A"	"drug/narcotic violations"	"drug/narcotic offenses"	"society"	2018-01-14 21:01:00	-97.713382	30.301166	"street"	"street"	"484530003071027"	NA	NA
"31"	1191190	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-16 13:00:00	-97.691284	30.35011	"residence"	"residence"	"484530018131012"	NA	NA
"32"	1191398	"Austin"	"23H"	"all other larceny"	"larceny/theft offenses"	"property"	2018-01-17 17:00:00	-97.729702	30.159026	"construction"	"commercial"	"484530024313043"	NA	NA
"33"	1191464	"Austin"	"23F"	"theft from motor vehicle (except theft of motor vehicle parts or accessories)"	"larceny/theft offenses"	"property"	2018-01-17 22:00:00	-97.77205	30.442867	"residence"	"residence"	"484910204104006"	NA	NA
