"","cmplnt_num","addr_pct_cd","boro_nm","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","crm_atpt_cptd_cd","hadevelopt","housing_psa","jurisdiction_code","juris_desc","ky_cd","law_cat_cd","loc_of_occur_desc","ofns_desc","parks_nm","patrol_boro","pd_cd","pd_desc","prem_typ_desc","rpt_dt","station_name","susp_age_group","susp_race","susp_sex","transit_district","vic_age_group","vic_race","vic_sex","x_coord_cd","y_coord_cd","latitude","longitude","lat_lon"
"1",857927015,10,"MANHATTAN","2019-01-29T00:00:00.000","16:37:00","2019-01-29T00:00:00.000","16:45:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",106,"FELONY","","FELONY ASSAULT","","PATROL BORO MAN SOUTH",109,"ASSAULT 2,1,UNCLASSIFIED","STREET","2019-01-30T00:00:00.000","","18-24","BLACK","M",NA,"UNKNOWN","UNKNOWN","M",984140,211709,40.747777093,-74.0003984429999,"(40.747777093, -74.000398443)"
"2",479254687,101,"QUEENS","2019-03-29T00:00:00.000","17:00:00","2019-03-29T00:00:00.000","17:10:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",107,"FELONY","INSIDE","BURGLARY","","PATROL BORO QUEENS SOUTH",221,"BURGLARY,RESIDENCE,DAY","RESIDENCE - APT. HOUSE","2019-03-29T00:00:00.000","","UNKNOWN","BLACK","M",NA,"25-44","BLACK","F",1054076,157437,40.5985375930001,-73.748559596,"(40.598537593, -73.748559596)"
"3",320007604,41,"BRONX","2019-02-06T00:00:00.000","02:00:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",105,"FELONY","INSIDE","ROBBERY","","PATROL BORO BRONX",396,"ROBBERY,BEGIN AS SHOPLIFTING","DRUG STORE","2019-02-06T00:00:00.000","","45-64","BLACK","M",NA,"UNKNOWN","UNKNOWN","D",1011589,237996,40.819885621,-73.901226998,"(40.819885621, -73.901226998)"
"4",746022144,68,"BROOKLYN","2019-01-08T00:00:00.000","22:49:00","2019-01-08T00:00:00.000","22:52:00","COMPLETED","",NA,0,"N.Y. POLICE DEPT",117,"FELONY","","DANGEROUS DRUGS","","PATROL BORO BKLYN SOUTH",503,"CONTROLLED SUBSTANCE,INTENT TO","STREET","2019-01-08T00:00:00.000","","25-44","WHITE","M",NA,"UNKNOWN","UNKNOWN","E",984439,166855,40.6246631290001,-73.999320591,"(40.624663129, -73.999320591)"
"5",145366108,25,"MANHATTAN","2019-02-11T00:00:00.000","12:07:00","","","COMPLETED","",NA,11,"N.Y. STATE POLICE",236,"MISDEMEANOR","","DANGEROUS WEAPONS","","PATROL BORO MAN NORTH",782,"WEAPONS, POSSESSION, ETC","STREET","2019-02-11T00:00:00.000","","","","",NA,"UNKNOWN","UNKNOWN","E",1002776,231994,40.8034346800001,-73.9330844799999,"(40.80343468, -73.93308448)"
"6",889702556,32,"MANHATTAN","2019-03-11T00:00:00.000","21:40:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",105,"FELONY","FRONT OF","ROBBERY","","PATROL BORO MAN NORTH",384,"ROBBERY,POCKETBOOK/CARRIED BAG","STREET","2019-03-11T00:00:00.000","","65+","BLACK","M",NA,"45-64","BLACK","F",999283,235265,40.8124193030001,-73.945694068,"(40.812419303, -73.945694068)"
"7",291569019,50,"BRONX","2019-02-16T00:00:00.000","17:15:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","INSIDE","ASSAULT 3 & RELATED OFFENSES","","PATROL BORO BRONX",101,"ASSAULT 3","RESIDENCE - APT. HOUSE","2019-02-16T00:00:00.000","","45-64","BLACK","M",NA,"45-64","BLACK","M",1011244,256820,40.8715530060001,-73.902397688,"(40.871553006, -73.902397688)"
"8",811464670,73,"BROOKLYN","2019-02-09T00:00:00.000","20:36:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",111,"FELONY","","POSSESSION OF STOLEN PROPERTY","","PATROL BORO BKLYN NORTH",493,"STOLEN PROPERTY-MOTOR VEH 2ND,","STREET","2019-03-07T00:00:00.000","","","","",NA,"45-64","UNKNOWN","F",1009192,182352,40.667163928,-73.9100935669999,"(40.667163928, -73.910093567)"
"9",605345964,46,"BRONX","2019-03-14T00:00:00.000","18:20:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",118,"FELONY","FRONT OF","DANGEROUS WEAPONS","","PATROL BORO BRONX",792,"WEAPONS POSSESSION 1 & 2","STREET","2019-03-14T00:00:00.000","","","","",NA,"UNKNOWN","UNKNOWN","E",1011923,250786,40.8549894060001,-73.8999675049999,"(40.854989406, -73.899967505)"
"10",816741975,18,"MANHATTAN","2019-03-30T00:00:00.000","14:58:00","","","COMPLETED","",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY","","PATROL BORO MAN SOUTH",433,"LARCENY,GRAND FROM STORE-SHOPL","DEPARTMENT STORE","2019-03-30T00:00:00.000","","25-44","WHITE","F",NA,"UNKNOWN","UNKNOWN","D",991531,217373,40.7633203390001,-73.973717904,"(40.763320339, -73.973717904)"
