"","cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"1",728113739,"2018-12-31T00:00:00.000","08:55:00","2018-12-31T00:00:00.000","09:09:00",115,"2018-12-31T00:00:00.000",113,"FORGERY",729,"FORGERY,ETC.,UNCLASSIFIED-FELO","COMPLETED","FELONY","QUEENS","","STREET","N.Y. POLICE DEPT",0,"","","",1020322,213915,"25-44","WHITE HISPANIC","M",NA,40.7537584340001,-73.869804452,"(40.753758434, -73.869804452)","PATROL BORO QUEENS NORTH","","UNKNOWN","UNKNOWN","E"
"2",916182881,"2018-12-31T00:00:00.000","04:00:00","2018-12-31T00:00:00.000","04:26:00",34,"2018-12-31T00:00:00.000",347,"INTOXICATED & IMPAIRED DRIVING",905,"INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","MANHATTAN","","STREET","N.Y. POLICE DEPT",0,"","","",1007320,255391,"45-64","BLACK","M",NA,40.867641967,-73.916590833,"(40.867641967, -73.916590833)","PATROL BORO MAN NORTH","","UNKNOWN","UNKNOWN","E"
"3",547663392,"2018-12-31T00:00:00.000","10:30:00","2018-12-31T00:00:00.000","10:40:00",9,"2018-12-31T00:00:00.000",109,"GRAND LARCENY",439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","COMPLETED","FELONY","MANHATTAN","FRONT OF","OTHER","N.Y. POLICE DEPT",0,"","","",990577,204879,"","","",NA,40.729028172,-73.977173481,"(40.729028172, -73.977173481)","PATROL BORO MAN SOUTH","","18-24","UNKNOWN","F"
"4",754008329,"2018-12-31T00:00:00.000","20:55:00","2018-12-31T00:00:00.000","21:10:00",60,"2018-12-31T00:00:00.000",344,"ASSAULT 3 & RELATED OFFENSES",101,"ASSAULT 3","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",987361,154043,"45-64","WHITE","M",NA,40.58949626,-73.9888003309999,"(40.58949626, -73.988800331)","PATROL BORO BKLYN SOUTH","","45-64","ASIAN / PACIFIC ISLANDER","F"
"5",516455318,"2018-12-31T00:00:00.000","18:11:00","2018-12-31T00:00:00.000","18:49:00",43,"2018-12-31T00:00:00.000",109,"GRAND LARCENY",433,"LARCENY,GRAND FROM STORE-SHOPL","COMPLETED","FELONY","BRONX","INSIDE","DEPARTMENT STORE","N.Y. POLICE DEPT",0,"","","",1022669,243541,"25-44","WHITE HISPANIC","F",NA,40.835063807,-73.861163812,"(40.835063807, -73.861163812)","PATROL BORO BRONX","","UNKNOWN","UNKNOWN","D"
"6",476800744,"2018-12-31T00:00:00.000","14:00:00","2018-12-31T00:00:00.000","14:15:00",45,"2018-12-31T00:00:00.000",341,"PETIT LARCENY",338,"LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","BRONX","INSIDE","GYM/FITNESS FACILITY","N.Y. POLICE DEPT",0,"","","",1033597,255731,"","","",NA,40.868467378,-73.821582846,"(40.868467378, -73.821582846)","PATROL BORO BRONX","","65+","BLACK","M"
"7",625626332,"2018-12-31T00:00:00.000","00:00:00","2018-12-31T00:00:00.000","07:00:00",75,"2018-12-31T00:00:00.000",341,"PETIT LARCENY",321,"LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","BROOKLYN","","STREET","N.Y. POLICE DEPT",0,"","","",1013438,188609,"","","",NA,40.684324995,-73.894761022,"(40.684324995, -73.894761022)","PATROL BORO BKLYN NORTH","","25-44","WHITE HISPANIC","F"
"8",739000670,"2018-12-31T00:00:00.000","16:30:00","2018-12-31T00:00:00.000","19:00:00",113,"2018-12-31T00:00:00.000",109,"GRAND LARCENY",421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","COMPLETED","FELONY","QUEENS","OPPOSITE OF","STREET","N.Y. POLICE DEPT",0,"","","",1052441,192191,"","","",NA,40.6939421800001,-73.754095849,"(40.69394218, -73.754095849)","PATROL BORO QUEENS SOUTH","","25-44","BLACK","F"
"9",258850409,"2018-12-31T00:00:00.000","15:05:00","2018-12-31T00:00:00.000","15:08:00",107,"2018-12-31T00:00:00.000",341,"PETIT LARCENY",339,"LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","QUEENS","REAR OF","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT",0,"","","",1048134,202903,"UNKNOWN","UNKNOWN","F",NA,40.7233761260001,-73.769525743,"(40.723376126, -73.769525743)","PATROL BORO QUEENS SOUTH","","25-44","WHITE","M"
"10",855070768,"2018-12-31T00:00:00.000","22:05:00","2018-12-31T00:00:00.000","23:00:00",81,"2018-12-31T00:00:00.000",351,"CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","RESIDENCE - PUBLIC HOUSING","N.Y. HOUSING POLICE",2,"","","502",1001205,191692,"18-24","BLACK","M",NA,40.692819005,-73.9388606209999,"(40.692819005, -73.938860621)","PATROL BORO BKLYN NORTH","","65+","BLACK","F"
