"","uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
"1",16211164,"New York","13B","simple assault","assault offenses","persons",2018-01-01 01:15:00,-73.8141,40.693341,"residence","residence","360810152001006",2018-01-01 00:30:00,2018-01-01 02:00:00
"2",16211234,"New York","13B","simple assault","assault offenses","persons",2018-01-01 02:00:00,-73.991193,40.742238,"bar/club","leisure","360610058001007",2018-01-01 02:00:00,NA
"3",16211288,"New York","22B","non-residential burglary/breaking & entering","burglary/breaking & entering","property",2018-01-01 02:30:00,-73.889869,40.67279,"office","commercial","360471152002001",2017-12-31 23:00:00,2018-01-01 06:00:00
"4",16211513,"New York","13B","simple assault","assault offenses","persons",2018-01-01 05:05:00,-73.934968,40.849849,"street","street","360610271003004",2018-01-01 05:00:00,2018-01-01 05:10:00
"5",16211632,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-01 08:00:00,-73.830302,40.837781,"other","other","360050184004008",2018-01-01 08:00:00,NA
"6",16211639,"New York","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-01 08:00:00,-73.849531,40.836649,"street","street","360050206012005",2018-01-01 08:00:00,NA
"7",16211858,"New York","23C","shoplifting","larceny/theft offenses","property",2018-01-01 13:02:00,-73.985848,40.690866,"other retail","retail","360470011001013",2018-01-01 12:30:00,2018-01-01 13:35:00
"8",16211965,"New York","13A","aggravated assault","assault offenses","persons",2018-01-01 15:42:00,-73.861052,40.751893,"residence","residence","360810403001003",2018-01-01 15:40:00,2018-01-01 15:44:00
"9",16212057,"New York","90Z","all other offenses","all other offenses","other",2018-01-01 17:45:00,-74.010269,40.603396,"residence","residence","360470174001002",2018-01-01 17:00:00,2018-01-01 18:30:00
"10",16212071,"New York","35A","drug/narcotic violations","drug/narcotic offenses","society",2018-01-01 18:05:00,-73.974261,40.740825,"residence","residence","360610062001000",2018-01-01 18:05:00,2018-01-01 18:06:00
"11",16212101,"New York","250","counterfeiting/forgery","counterfeiting/forgery","property",2018-01-01 19:00:00,-73.974264,40.789898,"residence","residence","360610175006000",2018-01-01 18:00:00,2018-01-01 20:00:00
"12",16212281,"New York","13A","aggravated assault","assault offenses","persons",2018-01-01 23:27:00,-74.217886,40.52476,"residence","residence","360850226004009",2018-01-01 23:25:00,2018-01-01 23:29:00
"13",16212289,"New York","35A","drug/narcotic violations","drug/narcotic offenses","society",2018-01-01 23:41:00,-73.901221,40.697179,"street","street","360810555001003",2018-01-01 23:35:00,2018-01-01 23:47:00
"14",16212326,"New York","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property",2018-01-02 00:30:00,-73.859,40.718489,"residence","residence","360810703001003",2017-12-27 12:00:00,2018-01-07 13:00:00
"15",16212402,"New York","13B","simple assault","assault offenses","persons",2018-01-02 03:04:00,-73.941238,40.818823,"bar/club","leisure","360610230004001",2018-01-02 03:00:00,2018-01-02 03:08:00
"16",16212528,"New York","13B","simple assault","assault offenses","persons",2018-01-02 08:19:00,-73.879136,40.844347,"residence","residence","360050361004000",2018-01-02 07:30:00,2018-01-02 09:09:00
"17",16212650,"New York","90Z","all other offenses","all other offenses","other",2018-01-02 11:35:00,-73.879782,40.659196,"residence","residence","360471110002000",2018-01-02 11:30:00,2018-01-02 11:40:00
"18",16212719,"New York","23A","pocket-picking","larceny/theft offenses","property",2018-01-02 13:07:00,-74.000958,40.731715,"rapid transit","transportation","360610071005006",2018-01-02 13:00:00,2018-01-02 13:15:00
"19",16213011,"New York","510","bribery","bribery","property",2018-01-02 18:03:00,-73.933357,40.643053,"residence","residence","360470840001003",2018-01-02 17:57:00,2018-01-02 18:10:00
"20",16213084,"New York","90Z","all other offenses","all other offenses","other",2018-01-02 19:10:00,-73.901527,40.727001,"residence","residence","360810511001002",2018-01-02 19:00:00,2018-01-02 19:20:00
"21",16213281,"New York","90Z","all other offenses","all other offenses","other",2018-01-02 23:30:00,-73.973326,40.750302,"office","commercial","360610088001001",2017-12-31 08:00:00,2018-01-05 15:00:00
"22",16213472,"New York","13B","simple assault","assault offenses","persons",2018-01-03 05:50:00,-73.974282,40.731844,"residence","residence","360610044003000",2018-01-03 05:45:00,2018-01-03 05:55:00
"23",16213487,"New York","90Z","all other offenses","all other offenses","other",2018-01-03 06:57:00,-73.989855,40.711952,"residence","residence","360610006002000",2018-01-03 06:54:00,2018-01-03 07:00:00
"24",16213648,"New York","23D","theft from building","larceny/theft offenses","property",2018-01-03 11:26:00,-73.830615,40.760542,"finance","commercial","360810871002006",2018-01-03 11:26:00,2018-01-03 11:26:00
"25",16213859,"New York","22A","residential burglary/breaking & entering","burglary/breaking & entering","property",2018-01-03 15:00:00,-73.915337,40.62296,"residence","residence","360470696011005",2018-01-03 12:00:00,2018-01-03 18:00:00
