"","incident_key","occur_date","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude"
"1",169180023,"2017-09-09T00:00:00.000","3:57:00","STATEN ISLAND",120,0,"","false","","","","25-44","M","BLACK",959975,171772,40.638125991,-74.087466921
"2",169180027,"2017-09-09T00:00:00.000","22:15:00","BRONX",50,0,"","false","","","","25-44","M","BLACK HISPANIC",1011288,255912,40.86906069,-73.9022422589999
"3",169180025,"2017-09-09T00:00:00.000","18:35:00","BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS","false","","","","18-24","M","BLACK",999888,193014,40.696450014,-73.943606737
"4",169180024,"2017-09-09T00:00:00.000","15:20:00","BROOKLYN",67,0,"","false","18-24","M","BLACK","18-24","M","BLACK",997784,172132,40.6391370430001,-73.951236227
"5",169180022,"2017-09-09T00:00:00.000","0:20:00","BROOKLYN",61,2,"MULTI DWELL - PUBLIC HOUS","false","","","","25-44","M","ASIAN / PACIFIC ISLANDER",1001019,156467,40.5961343380001,-73.9396189019999
"6",156603440,"2016-09-09T00:00:00.000","20:58:00","BROOKLYN",67,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","<18","M","BLACK",1003592,176432,40.650928837,-73.930296733
"7",156603439,"2016-09-09T00:00:00.000","20:43:00","BRONX",41,0,"","false","","","","25-44","M","WHITE HISPANIC",1011370,235889,40.814103174,-73.902026748
"8",156603438,"2016-09-09T00:00:00.000","11:50:00","MANHATTAN",32,0,"","false","","","","<18","M","BLACK",1001664,239682,40.824538353,-73.937081141
"9",156552658,"2016-09-09T00:00:00.000","0:18:00","QUEENS",113,0,"","false","","","","25-44","M","BLACK",1044416,183458,40.670030345,-73.783112887
"10",146014287,"2015-09-09T00:00:00.000","23:08:00","BRONX",47,2,"MULTI DWELL - PUBLIC HOUS","false","","","","25-44","M","BLACK",1026323,261252,40.883658466,-73.847847932
"11",146014286,"2015-09-09T00:00:00.000","23:00:00","MANHATTAN",28,0,"","false","","","","25-44","M","BLACK",998318,231726,40.8027073150001,-73.949187588
"12",146013532,"2015-09-09T00:00:00.000","19:03:00","BROOKLYN",77,0,"","true","25-44","M","BLACK","18-24","M","BLACK",1001196,185003,40.674459245,-73.938909896
"13",145992814,"2015-09-09T00:00:00.000","11:54:00","BROOKLYN",70,0,"MULTI DWELL - APT BUILD","false","<18","M","WHITE HISPANIC","<18","M","WHITE HISPANIC",994904,167484,40.626383199,-73.961620674
"14",138627598,"2014-09-09T00:00:00.000","17:36:00","BROOKLYN",73,0,"","false","","","","18-24","M","BLACK",1006587,182075,40.66641058,-73.919484665
"15",92525610,"2013-09-09T00:00:00.000","5:26:00","BROOKLYN",75,0,"MULTI DWELL - PUBLIC HOUS","true","","","","18-24","M","BLACK",1015537,178639,40.6569524220001,-73.8872391359999
"16",92507649,"2013-09-09T00:00:00.000","4:35:00","BROOKLYN",79,0,"","false","","","","25-44","M","BLACK",995342,191876,40.6933333330001,-73.9600026699999
"17",92507648,"2013-09-09T00:00:00.000","3:55:00","MANHATTAN",17,0,"BAR/NIGHT CLUB","false","25-44","M","BLACK","25-44","M","BLACK",991876,214311,40.75491564,-73.9724759659999
"18",92525805,"2013-09-09T00:00:00.000","15:14:00","QUEENS",113,0,"","false","25-44","M","BLACK","25-44","M","BLACK",1050964,189413,40.6863284950001,-73.759449585
"19",86650273,"2012-09-09T00:00:00.000","2:15:00","QUEENS",113,0,"","false","","","","18-24","M","BLACK",1051505,190826,40.6902027470001,-73.757484797
"20",86650272,"2012-09-09T00:00:00.000","2:01:00","MANHATTAN",28,0,"","false","","","","25-44","M","BLACK",997995,230064,40.7981460870001,-73.950357672
"21",86664788,"2012-09-09T00:00:00.000","23:22:00","STATEN ISLAND",120,0,"","true","25-44","M","BLACK","18-24","M","BLACK",951991,171198,40.636525003,-74.116231372
"22",86651100,"2012-09-09T00:00:00.000","15:47:00","BROOKLYN",77,0,"","false","","","","25-44","M","BLACK",998182,186167,40.6776594180001,-73.949773174
"23",80667853,"2011-09-09T00:00:00.000","23:00:00","BRONX",44,0,"","false","18-24","M","BLACK","18-24","F","BLACK",1007977,246029,40.8419443340001,-73.914248556
"24",80667853,"2011-09-09T00:00:00.000","23:00:00","BRONX",44,0,"","false","18-24","M","WHITE HISPANIC","18-24","F","BLACK",1007977,246029,40.8419443340001,-73.914248556
"25",80667853,"2011-09-09T00:00:00.000","23:00:00","BRONX",44,0,"","false","18-24","M","BLACK","18-24","M","BLACK",1007977,246029,40.8419443340001,-73.914248556
"26",80667853,"2011-09-09T00:00:00.000","23:00:00","BRONX",44,0,"","false","18-24","M","WHITE HISPANIC","18-24","M","BLACK",1007977,246029,40.8419443340001,-73.914248556
"27",80667641,"2011-09-09T00:00:00.000","22:43:00","QUEENS",104,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK HISPANIC","<18","M","WHITE HISPANIC",1008657,195934,40.70444489,-73.9119728699999
"28",80667641,"2011-09-09T00:00:00.000","22:43:00","QUEENS",104,0,"MULTI DWELL - APT BUILD","false","<18","M","BLACK HISPANIC","<18","M","WHITE HISPANIC",1008657,195934,40.70444489,-73.9119728699999
"29",80655008,"2011-09-09T00:00:00.000","13:32:00","BROOKLYN",67,0,"","false","","","","18-24","M","BLACK",996921,176967,40.652409353,-73.954336676
"30",80654704,"2011-09-09T00:00:00.000","12:39:00","QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","18-24","M","BLACK",1009725,215121,40.7571054750001,-73.9080482849999
"31",80653750,"2011-09-09T00:00:00.000","0:25:00","BROOKLYN",67,0,"MULTI DWELL - APT BUILD","false","","","","18-24","M","BLACK",999809,172040,40.638881198,-73.943940035
"32",74524209,"2010-09-09T00:00:00.000","2:42:00","BRONX",52,0,"MULTI DWELL - APT BUILD","false","18-24","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC",1016159,255448,40.867770889,-73.8846327909999
"33",74524209,"2010-09-09T00:00:00.000","2:42:00","BRONX",52,0,"MULTI DWELL - APT BUILD","false","18-24","M","WHITE HISPANIC","<18","M","BLACK HISPANIC",1016159,255448,40.867770889,-73.8846327909999
"34",74549230,"2010-09-09T00:00:00.000","22:00:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","false","","","","18-24","M","BLACK HISPANIC",1005170,235308,40.8125253480001,-73.924426892
"35",74549231,"2010-09-09T00:00:00.000","20:28:00","BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS","false","","","","25-44","M","BLACK",1001974,191809,40.6931386370001,-73.93608725
"36",74532192,"2010-09-09T00:00:00.000","17:07:00","BROOKLYN",71,0,"","false","","","","<18","M","BLACK",1000151,180218,40.661327424,-73.9426884809999
"37",74532192,"2010-09-09T00:00:00.000","17:07:00","BROOKLYN",71,0,"","true","","","","<18","M","BLACK",1000151,180218,40.661327424,-73.9426884809999
"38",74530911,"2010-09-09T00:00:00.000","12:41:00","BROOKLYN",75,0,"","false","<18","M","BLACK","18-24","M","BLACK",1013511,181454,40.6646858990001,-73.8945288749999
"39",74530911,"2010-09-09T00:00:00.000","12:41:00","BROOKLYN",75,0,"","false","<18","M","BLACK","25-44","M","BLACK",1013511,181454,40.6646858990001,-73.8945288749999
"40",65602677,"2009-09-09T00:00:00.000","22:05:00","QUEENS",106,0,"MULTI DWELL - APT BUILD","true","25-44","M","BLACK","25-44","M","WHITE",1028292,183162,40.669312786,-73.841239044
"41",65602677,"2009-09-09T00:00:00.000","22:05:00","QUEENS",106,0,"MULTI DWELL - APT BUILD","true","25-44","M","WHITE","25-44","M","WHITE",1028292,183162,40.669312786,-73.841239044
"42",65590948,"2009-09-09T00:00:00.000","20:19:00","BRONX",43,0,"","false","18-24","M","BLACK HISPANIC","25-44","M","BLACK",1018876,241924,40.8306412970001,-73.874879189
"43",65602676,"2009-09-09T00:00:00.000","19:36:00","BROOKLYN",60,2,"MULTI DWELL - PUBLIC HOUS","false","UNKNOWN","U","UNKNOWN","<18","M","BLACK",989392,155078,40.592336182,-73.9814869589999
"44",65575827,"2009-09-09T00:00:00.000","14:45:00","QUEENS",101,0,"","false","UNKNOWN","U","UNKNOWN","18-24","M","BLACK",1052809,159159,40.603274007,-73.7531045329999
"45",51110050,"2008-09-09T00:00:00.000","23:03:00","BROOKLYN",75,0,"","false","25-44","M","BLACK","18-24","M","BLACK",1018612,182165,40.666619107,-73.876138492
"46",51110050,"2008-09-09T00:00:00.000","23:03:00","BROOKLYN",75,0,"","false","25-44","M","BLACK","25-44","M","BLACK",1018612,182165,40.666619107,-73.876138492
"47",51239107,"2008-09-09T00:00:00.000","20:37:00","BROOKLYN",79,0,"MULTI DWELL - APT BUILD","false","UNKNOWN","U","UNKNOWN","25-44","M","BLACK",997771,190216,40.688773638,-73.951246806
