"","incident_key","occur_date","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude"
"1",199134397,"2019-06-30T00:00:00.000","21:35:00","QUEENS",101,0,"","false","","","","25-44","M","WHITE HISPANIC",1051810,158386,40.601159958,-73.7567098769999
"2",199134405,"2019-06-30T00:00:00.000","04:24:00","MANHATTAN",10,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","F","BLACK",982756,210140,40.7434704550001,-74.005393004
"3",199134404,"2019-06-30T00:00:00.000","03:33:00","STATEN ISLAND",120,0,"","false","","","","18-24","M","BLACK",961586,167100,40.625306611,-74.081646624
"4",199134399,"2019-06-30T00:00:00.000","01:20:00","BRONX",41,0,"MULTI DWELL - APT BUILD","true","18-24","M","BLACK","18-24","M","WHITE HISPANIC",1011581,235322,40.8125462670001,-73.90126679
"5",199134403,"2019-06-29T00:00:00.000","18:39:00","BROOKLYN",83,0,"","false","45-64","M","BLACK","25-44","M","BLACK",1003824,192762,40.6957505030001,-73.9294132319999
"6",199134401,"2019-06-29T00:00:00.000","06:00:00","BROOKLYN",70,0,"","false","18-24","M","WHITE HISPANIC","18-24","M","WHITE",996021,167201,40.6256050100001,-73.957597203
"7",199134406,"2019-06-29T00:00:00.000","05:48:00","BROOKLYN",69,0,"PVT HOUSE","false","","","","25-44","F","BLACK",1013573,170157,40.6336778950001,-73.8943545019999
"8",199134406,"2019-06-29T00:00:00.000","05:48:00","BROOKLYN",69,0,"PVT HOUSE","false","","","","25-44","M","BLACK",1013573,170157,40.6336778950001,-73.8943545019999
"9",199134398,"2019-06-28T00:00:00.000","17:35:00","BROOKLYN",73,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","25-44","F","BLACK",1008228,183789,40.671110834,-73.913563363
"10",199134398,"2019-06-28T00:00:00.000","17:35:00","BROOKLYN",73,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","25-44","M","BLACK",1008228,183789,40.671110834,-73.913563363
"11",199134402,"2019-06-28T00:00:00.000","12:34:00","BROOKLYN",72,0,"MULTI DWELL - APT BUILD","true","25-44","M","ASIAN / PACIFIC ISLANDER","45-64","M","ASIAN / PACIFIC ISLANDER",982753,172890,40.641227804,-74.005395547
"12",199134400,"2019-06-28T00:00:00.000","04:30:00","QUEENS",110,0,"","false","","","","25-44","M","BLACK",1021509,208334,40.7384350820001,-73.86555106
"13",199061351,"2019-06-28T00:00:00.000","00:26:00","BROOKLYN",83,0,"","false","","","","<18","M","WHITE HISPANIC",1003823,194497,40.7005126760001,-73.9294117969999
"14",199052835,"2019-06-28T00:00:00.000","00:25:00","BRONX",42,2,"MULTI DWELL - PUBLIC HOUS","true","","","","25-44","M","BLACK",1009394,242828,40.8331545990001,-73.9091393109999
"15",199046249,"2019-06-27T00:00:00.000","21:02:00","QUEENS",101,0,"","false","25-44","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1053917,159316,40.6036962970001,-73.749112769
"16",199046250,"2019-06-27T00:00:00.000","01:00:00","BRONX",52,0,"","false","","","","18-24","M","BLACK HISPANIC",1009309,252307,40.8591719,-73.90941105
"17",199046251,"2019-06-27T00:00:00.000","00:15:00","BRONX",46,0,"","false","","","","25-44","M","BLACK",1005725,249742,40.852141187,-73.922375722
"18",198998743,"2019-06-26T00:00:00.000","20:45:00","BROOKLYN",81,0,"","false","<18","M","BLACK","<18","M","BLACK",1004471,187274,40.6806857500001,-73.927096477
"19",198998742,"2019-06-26T00:00:00.000","00:36:00","QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","M","UNKNOWN",1009077,214329,40.7549334810001,-73.910390193
"20",198948496,"2019-06-25T00:00:00.000","22:24:00","BROOKLYN",81,0,"PVT HOUSE","false","","","","18-24","M","BLACK",1006938,187372,40.680948759,-73.9182016089999
"21",198948498,"2019-06-25T00:00:00.000","16:48:00","QUEENS",108,0,"PVT HOUSE","false","65+","M","UNKNOWN","45-64","F","WHITE",1009241,212324,40.7494298040001,-73.9098056989999
"22",198948497,"2019-06-25T00:00:00.000","02:55:00","BRONX",42,0,"","false","18-24","M","UNKNOWN","25-44","M","BLACK HISPANIC",1013492,243405,40.8347256800001,-73.894327986
"23",198948495,"2019-06-25T00:00:00.000","01:20:00","QUEENS",109,0,"","false","<18","M","ASIAN / PACIFIC ISLANDER","18-24","M","UNKNOWN",1032807,217854,40.764510215,-73.8247131919999
"24",198948494,"2019-06-25T00:00:00.000","00:01:00","BRONX",48,0,"","false","","","","25-44","M","BLACK",1014015,251634,40.8573101060001,-73.892401466
"25",198900605,"2019-06-24T00:00:00.000","18:55:00","MANHATTAN",32,0,"GROCERY/BODEGA","true","","","","25-44","M","BLACK",1000928,236480,40.8157511860001,-73.9397484149999
"26",198900606,"2019-06-24T00:00:00.000","02:49:00","BRONX",41,0,"","false","","","","25-44","M","BLACK",1014135,236990,40.817116189,-73.892032915
"27",198900607,"2019-06-24T00:00:00.000","00:05:00","BROOKLYN",60,0,"","false","","","","18-24","M","BLACK",985897,148507,40.574301425,-73.994072789
"28",198858232,"2019-06-23T00:00:00.000","23:08:00","BRONX",43,0,"","false","25-44","M","BLACK","25-44","M","WHITE HISPANIC",1019719,243343,40.8345326950001,-73.871825481
"29",198858233,"2019-06-23T00:00:00.000","20:35:00","BRONX",50,0,"","false","18-24","M","BLACK","18-24","M","WHITE HISPANIC",1010218,258831,40.8770756590001,-73.9060996599999
"30",198858231,"2019-06-23T00:00:00.000","16:00:00","BRONX",44,0,"","false","","","","25-44","M","BLACK",1008053,241673,40.8299881730001,-73.913989339
"31",198858231,"2019-06-23T00:00:00.000","16:00:00","BRONX",44,0,"","false","","","","<18","M","BLACK",1008053,241673,40.8299881730001,-73.913989339
"32",198858230,"2019-06-23T00:00:00.000","12:02:00","BROOKLYN",61,0,"","false","18-24","M","BLACK","25-44","M","WHITE HISPANIC",995122,155693,40.5940190590001,-73.960854316
"33",198858229,"2019-06-23T00:00:00.000","02:15:00","BRONX",46,0,"","false","18-24","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC",1011477,250772,40.8549523670001,-73.9015797869999
"34",198858229,"2019-06-23T00:00:00.000","02:15:00","BRONX",46,0,"","false","<18","M","BLACK HISPANIC","18-24","M","WHITE HISPANIC",1011477,250772,40.8549523670001,-73.9015797869999
