"","summons_key","summons_date","offense_description","law_section_number","law_description","summons_category_type","age_group","sex","race","jurisdiction_code","boro","precinct_of_occur","x_coordinate_cd","y_coordinate_cd","latitude","longitude"
"1",173135642,"2017-12-31T00:00:00.000","RIFLE, SHOTGUN, AMMO SALE OR PURCHASE","10-306","Administrative Code","AMMO","25-44","F","WHITE HISPANIC",2,"BRONX",43,1021543,239271,40.823348717,-73.865256652
"2",173138632,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","F","BLACK",0,"BRONX",44,1006350,243112,40.8339422390001,-73.9201383829999
"3",173193579,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","WHITE HISPANIC",0,"QUEENS",113,1042383,189913,40.687761395,-73.79038581
"4",173135647,"2017-12-31T00:00:00.000","DISORDERLY CONDUCT","240.20","Penal Law","DISORDERLY CONDUCT","18-24","M","WHITE HISPANIC",0,"QUEENS",114,1006432,215383,40.7578334730001,-73.9199336459999
"5",173135644,"2017-12-31T00:00:00.000","CONSUMPTION OF ALCOHOL","10-125","Administrative Code","ALCOHOL","25-44","M","WHITE HISPANIC",2,"BRONX",40,1007753,235353,40.8126423670001,-73.9150955229999
"6",173193537,"2017-12-31T00:00:00.000","TRESPASS","140.05","Penal Law","TRESPASS","25-44","M","BLACK",0,"MANHATTAN",23,998890,225928,40.786792446,-73.947134154
"7",173151584,"2017-12-31T00:00:00.000","FEDERAL MOTOR VEH. SAFETY REG","CFR 49","NYS Transportation","NYS TRANS","","D","",0,"BROOKLYN",90,994869,194280,40.699932334,-73.961704562
"8",173151583,"2017-12-31T00:00:00.000","FEDERAL MOTOR VEH. SAFETY REG","CFR 49","NYS Transportation","NYS TRANS","","D","",0,"BROOKLYN",90,994869,194280,40.699932334,-73.961704562
"9",173151581,"2017-12-31T00:00:00.000","OBSTRUCTING TRAFFIC","45","Traffic Regs","TRAFFIC REGS","45-64","M","UNKNOWN",0,"BRONX",44,1006303,243645,40.8354052870001,-73.920306476
"10",173135604,"2017-12-31T00:00:00.000","NOISE (UNREASONABLE)","24-218","Administrative Code","NOISE","18-24","M","WHITE HISPANIC",0,"BRONX",48,1016402,247804,40.8467895300001,-73.883790877
"11",173130348,"2017-12-31T00:00:00.000","FIREWORKS, POSSESS/USE","270","Penal Law","FIREWORKS","18-24","M","WHITE",0,"BROOKLYN",72,983625,173363,40.642526192,-74.002253534
"12",173130430,"2017-12-31T00:00:00.000","DISCON: CREATE HAZARDOUS CONDITION","240.20-7","Penal Law","DISORDERLY CONDUCT","25-44","M","",0,"BRONX",40,1006985,238153,40.82032959,-73.917860479
"13",173135563,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","25-44","M","BLACK HISPANIC",0,"BROOKLYN",68,977504,167133,40.6254236140001,-74.024303387
"14",173135602,"2017-12-31T00:00:00.000","OTHER PENAL LAW","9999","Penal Law","OTHER PENAL LAW","25-44","M","UNKNOWN",0,"BRONX",40,1007168,236692,40.816319084,-73.917204295
"15",173130436,"2017-12-31T00:00:00.000","OTHER ABC","9999","ABC","OTHER ABC","25-44","F","UNKNOWN",0,"BRONX",40,1006075,236932,40.8169805840001,-73.921152255
"16",173135646,"2017-12-31T00:00:00.000","DISORDERLY CONDUCT","240.20","Penal Law","DISORDERLY CONDUCT","25-44","M","BLACK HISPANIC",0,"QUEENS",114,1006432,215383,40.7578334730001,-73.9199336459999
"17",173138622,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","F","WHITE",0,"QUEENS",105,1055005,200297,40.7161710250001,-73.744764613
"18",173193695,"2017-12-31T00:00:00.000","KEY IN IGNITION","10-111","Administrative Code","KEY","18-24","M","BLACK",0,"QUEENS",113,1041715,188851,40.684850817,-73.792803529
"19",173560024,"2017-12-31T00:00:00.000","RECKLESS DRIVING","1212","VTL","VTL","45-64","M","UNKNOWN",0,"MANHATTAN",5,985689,201030,40.718465742,-73.994810323
"20",173361689,"2017-12-31T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","18-24","M","BLACK",0,"BROOKLYN",79,1001139,192775,40.695791716,-73.939095905
"21",173130383,"2017-12-31T00:00:00.000","UNLICENSED VEHICLE FOR HIRE","19-506","Administrative Code","TLC","25-44","M","",0,"BROOKLYN",75,1018961,178899,40.657653305,-73.874897285
"22",173193590,"2017-12-31T00:00:00.000","CONSUMPTION OF ALCOHOL","10-125","Administrative Code","ALCOHOL","25-44","M","WHITE HISPANIC",0,"QUEENS",103,1036584,196296,40.7053173960001,-73.811246148
"23",173193626,"2017-12-31T00:00:00.000","UNATTENDED VEH. (ENGINE RUNNING)","1210","VTL","VTL","25-44","M","",0,"BRONX",45,1026676,244181,40.83680208,-73.846679393
