"","summons_key","summons_date","offense_description","law_section_number","law_description","summons_category_type","age_group","sex","race","jurisdiction_code","boro","precinct_of_occur","x_coordinate_cd","y_coordinate_cd","latitude","longitude"
"1",199110375,"2019-06-30T00:00:00.000","SMOKING IN TRAIN STATION","1050.7","","","25-44","M","BLACK",1,"BRONX",46,1009886,250359,40.8538235670001,-73.907332598
"2",199130432,"2019-06-30T00:00:00.000","ACCEPT ON HAIL","19-507","Administrative Code","TLC","25-44","M","BLACK",0,"BROOKLYN",70,996803,172312,40.6396325490001,-73.954770595
"3",199237839,"2019-06-30T00:00:00.000","CREATES A HAZARDOUS OR PHYSICALLY OFFENSIVE CONDITION WITHOUT A LEGITIMATE PURPO","240.20(7)","","","18-24","F","WHITE HISPANIC",0,"BRONX",48,1016634,246662,40.84365423,-73.88295785
"4",199114778,"2019-06-30T00:00:00.000","OBSTRUCTS VEHICULAR OR PEDESTRIAN TRAFFIC","240.20(5)","","","45-64","M","BLACK",0,"NEW YORK",25,1002309,235815,40.813923233,-73.934761032
"5",199112268,"2019-06-30T00:00:00.000","OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED","512","","","45-64","M","BLACK HISPANIC",0,"NEW YORK",25,1001960,235143,40.8120794870001,-73.936023611
"6",199109926,"2019-06-30T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","BLACK",0,"BRONX",47,1023798,265080,40.8941767840001,-73.856956763
"7",199130897,"2019-06-30T00:00:00.000","ALCOHOLIC BEVERAGE IN PUBLIC","10-125(2B)","","","45-64","M","BLACK",0,"BROOKLYN",79,998136,187813,40.682177387,-73.949935623
"8",199130904,"2019-06-30T00:00:00.000","FIRE HYDRANT, OBSTRUCT","19-121(B7)","","","18-24","M","WHITE HISPANIC",2,"BROOKLYN",79,999414,193607,40.698078486,-73.94531477
"9",199131632,"2019-06-30T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","M","WHITE HISPANIC",0,"STATEN ISLAND",120,961833,166710,40.6242367720001,-74.0807555329999
"10",199131270,"2019-06-30T00:00:00.000","ALCOHOLIC BEVERAGE IN PUBLIC","10-125(2B)","","","25-44","M","BLACK",0,"QUEENS",113,1051498,193448,40.697399557,-73.7574838629999
"11",199130891,"2019-06-30T00:00:00.000","MOTOR VEHICLE; ENGINE ON/KEY IN IGNITION (THERE IS NO TIME REQUIREMENT)","10-111(A)","","","25-44","M","WHITE HISPANIC",0,"QUEENS",113,1040932,190239,40.688665599,-73.7956150539999
"12",199129469,"2019-06-30T00:00:00.000","MARIJUANA, POSSESSION OF","221.05","Penal Law","MARIJUANA","25-44","F","BLACK",0,"BROOKLYN",88,994277,188382,40.6837443750001,-73.963848358
