"","arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude"
"1",173130602,"2017-12-31T00:00:00.000",566,"MARIJUANA, POSSESSION",678,"MISCELLANEOUS PENAL LAW","PL 2210500","V","Q",105,0,"25-44","M","BLACK",1063056,207463,40.735771803,-73.715638255
"2",173114463,"2017-12-31T00:00:00.000",478,"THEFT OF SERVICES, UNCLASSIFIED",343,"OTHER OFFENSES RELATED TO THEFT","PL 1651503","M","Q",114,0,"25-44","M","ASIAN / PACIFIC ISLANDER",1009113,219613,40.769436597,-73.910240711
"3",173113513,"2017-12-31T00:00:00.000",849,"NY STATE LAWS,UNCLASSIFIED VIOLATION",677,"OTHER STATE LAWS","LOC000000V","V","K",73,1,"18-24","M","BLACK",1010719,186857,40.679524703,-73.904571538
"4",173113423,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",18,0,"25-44","M","WHITE",987831,217446,40.763522977,-73.9870744249999
"5",173113421,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",18,0,"45-64","M","BLACK",987073,216078,40.759768442,-73.9898112979999
"6",173130583,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1601001","F","K",73,0,"18-24","M","BLACK",1007524,188555,40.684194302,-73.916084746
"7",173129349,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",9,0,"18-24","F","WHITE HISPANIC",990592,202391,40.722199204,-73.9771217049999
"8",173128438,"2017-12-31T00:00:00.000",511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,"DANGEROUS DRUGS","PL 2200300","M","M",25,0,"25-44","M","BLACK",999724,230625,40.7996830220001,-73.9441116309999
"9",173128437,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",23,2,"25-44","M","BLACK HISPANIC",998165,226184,40.787496269,-73.9497517089999
"10",173128433,"2017-12-31T00:00:00.000",705,"FORGERY,ETC.-MISD.",358,"OFFENSES INVOLVING FRAUD","PL 1702000","M","M",17,0,"18-24","M","WHITE",991195,212559,40.7501074050001,-73.974935795
"11",173128430,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200002","M","K",83,0,"25-44","M","WHITE HISPANIC",1003807,195345,40.7028402720001,-73.929467038
"12",173128428,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","K",61,0,"65+","F","WHITE",997477,154359,40.590354295,-73.9523772109999
"13",173126364,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200501","F","K",60,0,"<18","F","BLACK",986771,148698,40.574825477,-73.99092661
"14",173124321,"2017-12-31T00:00:00.000",500,"CONTROLLED SUBSTANCE,POSSESS. 1",117,"DANGEROUS DRUGS","PL 2202101","F","Q",105,0,"18-24","F","WHITE",1050931,202071,40.7210718540001,-73.759443236
"15",173123525,"2017-12-31T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 215510B","F","K",67,0,"18-24","M","BLACK",999189,174694,40.646166925,-73.946168111
"16",173119690,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",28,0,"45-64","F","BLACK",998007,230362,40.798963998,-73.9503137199999
"17",173119058,"2017-12-31T00:00:00.000",782,"WEAPONS, POSSESSION, ETC",236,"DANGEROUS WEAPONS","PL 2650101","M","S",121,0,"18-24","M","WHITE HISPANIC",946312,169425,40.6316359960001,-74.1366829419999
"18",173117305,"2017-12-31T00:00:00.000",639,"AGGRAVATED HARASSMENT 2",361,"OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","PL 2402500","M","Q",104,0,"18-24","M","BLACK",1013787,195967,40.704519831,-73.893470403
